"weight";"word";"color";"url"
"31";"algorithm";"";""
"31";"network";"";""
"24";"methods";"";""
"19";"quantization";"";""
"17";"pruning";"";""
"13";"optimization";"";""
"12";"approach";"";""
"12";"learning";"";""
"11";"gradient";"";""
"11";"neural";"";""
"11";"problem";"";""
"11";"work";"";""
"10";"dense";"";""
"9";"CRFs";"";""
"9";"model";"";""
"9";"MRFs";"";""
"9";"variables";"";""
"8";"datasets";"";""
"8";"demonstrate";"";""
"8";"labels";"";""
"8";"memory";"";""
"7";"energy";"";""
"7";"experiments";"";""
"7";"performance";"";""
"7";"standard";"";""
"6";"classification";"";""
"6";"highly";"";""
"6";"large";"";""
"6";"parameters";"";""
"6";"propagation";"";""
"6";"segmentation";"";""
"6";"state-of-the-art";"";""
"5";"dataset";"";""
"5";"efficient";"";""
"5";"framework";"";""
"5";"image";"";""
"5";"incremental";"";""
"5";"initialization";"";""
"5";"modelling";"";""
"5";"models";"";""
"5";"object";"";""
"5";"paper";"";""
"5";"popular";"";""
"5";"sensitivity";"";""
"5";"similarity";"";""
"5";"task";"";""
"5";"time";"";""
"5";"trained";"";""
"5";"training";"";""
"4";"applications";"";""
"4";"architectures";"";""
"4";"attacks";"";""
"4";"block";"";""
"4";"CNNs";"";""
"4";"complexity";"";""
"4";"conditional";"";""
"4";"connection";"";""
"4";"continuous";"";""
"4";"descent";"";""
"4";"desirable";"";""
"4";"effective";"";""
"4";"faster";"";""
"4";"function";"";""
"4";"ImageNet";"";""
"4";"iterative";"";""
"4";"knowledge";"";""
"4";"labelling";"";""
"4";"learn";"";""
"4";"learned";"";""
"4";"linear";"";""
"4";"mean-field";"";""
"4";"minimization";"";""
"4";"multi-label";"";""
"4";"number";"";""
"4";"optimized";"";""
"4";"pairwise";"";""
"4";"previous";"";""
"4";"problems";"";""
"4";"proposed";"";""
"4";"proximal";"";""
"4";"scaled";"";""
"4";"simple";"";""
"4";"sparse";"";""
"4";"supervised";"";""
"4";"well";"";""
"3";"accuracy";"";""
"3";"addition";"";""
"3";"allows";"";""
"3";"annotations";"";""
"3";"become";"";""
"3";"better";"";""
"3";"body";"";""
"3";"capabilities";"";""
"3";"computer";"";""
"3";"convolutional";"";""
"3";"develop";"";""
"3";"effectiveness";"";""
"3";"efficiently";"";""
"3";"enable";"";""
"3";"exploiting";"";""
"3";"filter-based";"";""
"3";"forgetting";"";""
"3";"fully";"";""
"3";"Furthermore";"";""
"3";"generative";"";""
"3";"higher-order";"";""
"3";"intransigence";"";""
"3";"issue";"";""
"3";"iteration";"";""
"3";"localization";"";""
"3";"maintaining";"";""
"3";"Markov";"";""
"3";"neuron";"";""
"3";"original";"";""
"3";"perspective";"";""
"3";"pose";"";""
"3";"possible";"";""
"3";"potentials";"";""
"3";"preserving";"";""
"3";"procedure";"";""
"3";"programming";"";""
"3";"random";"";""
"3";"Random";"";""
"3";"reduced";"";""
"3";"reference";"";""
"3";"relaxation";"";""
"3";"resulting";"";""
"3";"results";"";""
"3";"scaling";"";""
"3";"semantic";"";""
"3";"signal";"";""
"3";"significantly";"";""
"3";"space";"";""
"3";"stereo";"";""
"3";"study";"";""
"3";"transfer";"";""
"3";"TRWP";"";""
"3";"typically";"";""
"3";"vanishing";"";""
"3";"various";"";""
"3";"video";"";""
"3";"weight";"";""
"3";"weighted";"";""
"3";"WSOL";"";""
"2";"able";"";""
"2";"additional";"";""
"2";"adversarial";"";""
"2";"allow";"";""
"2";"analyse";"";""
"2";"analysis";"";""
"2";"appearance";"";""
"2";"applied";"";""
"2";"architecture";"";""
"2";"backward";"";""
"2";"behaviour";"";""
"2";"CIFAR-10/100";"";""
"2";"combined";"";""
"2";"complex";"";""
"2";"compressing";"";""
"2";"computational";"";""
"2";"computed";"";""
"2";"conditions";"";""
"2";"connections";"";""
"2";"consider";"";""
"2";"consumption";"";""
"2";"correspondence";"";""
"2";"criterion";"";""
"2";"data";"";""
"2";"deep";"";""
"2";"design";"";""
"2";"dual";"";""
"2";"enables";"";""
"2";"energies";"";""
"2";"equivalent";"";""
"2";"evidence";"";""
"2";"excessive";"";""
"2";"Experiments";"";""
"2";"fact";"";""
"2";"Fields";"";""
"2";"first";"";""
"2";"flexible";"";""
"2";"floating-point";"";""
"2";"FLOPs";"";""
"2";"form";"";""
"2";"formulate";"";""
"2";"forward";"";""
"2";"generalization";"";""
"2";"GPU";"";""
"2";"guarantee";"";""
"2";"human";"";""
"2";"implementations";"";""
"2";"importance";"";""
"2";"improved";"";""
"2";"improves";"";""
"2";"including";"";""
"2";"increasingly";"";""
"2";"indeed";"";""
"2";"inference";"";""
"2";"interactions";"";""
"2";"involving";"";""
"2";"jointly";"";""
"2";"label";"";""
"2";"latent";"";""
"2";"lead";"";""
"2";"less";"";""
"2";"limited";"";""
"2";"Localization";"";""
"2";"loss";"";""
"2";"lower";"";""
"2";"main";"";""
"2";"makes";"";""
"2";"making";"";""
"2";"MAP";"";""
"2";"max-flow";"";""
"2";"message";"";""
"2";"minimize";"";""
"2";"move-making";"";""
"2";"much";"";""
"2";"multi-class";"";""
"2";"need";"";""
"2";"Networks";"";""
"2";"new";"";""
"2";"non-convex";"";""
"2";"objective";"";""
"2";"objectness";"";""
"2";"obtained";"";""
"2";"obtains";"";""
"2";"often";"";""
"2";"paradigm";"";""
"2";"passing";"";""
"2";"perform";"";""
"2";"presented";"";""
"2";"priors";"";""
"2";"properties";"";""
"2";"pruned";"";""
"2";"prunes";"";""
"2";"Pruning";"";""
"2";"quality";"";""
"2";"RANP";"";""
"2";"reduction";"";""
"2";"residual";"";""
"2";"ResNet-18";"";""
"2";"resource";"";""
"2";"robustness";"";""
"2";"saliency";"";""
"2";"semi-supervised";"";""
"2";"SGM";"";""
"2";"solve";"";""
"2";"stable";"";""
"2";"strategy";"";""
"2";"submodular";"";""
"2";"suffer";"";""
"2";"surrogate";"";""
"2";"tasks";"";""
"2";"temperature";"";""
"2";"though";"";""
"2";"TRWS";"";""
"2";"turn";"";""
"2";"typical";"";""
"2";"unconstrained";"";""
"2";"Unlike";"";""
"2";"update";"";""
"2";"useful";"";""
"2";"VGG-16";"";""
"2";"vision";"";""
"2";"weakly";"";""
"2";"widely";"";""
